id,prediction
2591820310,356188.56
7974200820,693419.8
7701450110,1090147.0
9522300010,1623164.1
9510861140,728192.8
1761300310,253099.92
7732410120,714776.6
7010701383,554998.6
291310170,392645.8
4232901990,532041.56
6840701125,606371.9
3971700580,400989.25
4202400078,254199.6
6064800090,361228.2
2626119028,279138.47
3303980660,1071770.9
862000020,430789.94
2386000070,842540.7
1138000450,332905.9
1775800420,460524.25
2291401425,419901.47
2025770560,835961.6
3525069037,680188.8
9324800450,757286.7
8080400136,479221.75
8651540040,502314.97
9407001790,248727.94
1773101530,177520.05
9432900250,319357.44
1794500695,543807.9
2220069003,347683.38
923000120,509716.06
5728000060,538730.6
16000200,260429.39
1926059094,574988.4
6672900220,1053444.2
3629860060,742604.7
1822069109,378184.7
6675500105,366571.16
249000180,1712773.8
226059065,446432.88
396100110,300150.44
9264450460,317564.34
7853361210,365978.03
9474700020,275367.78
421000455,220395.94
3755200220,371786.4
7960100075,366759.66
9477100490,414808.06
9138100350,780347.8
1624049275,369204.97
2770606890,423902.9
1157200189,436429.06
2770601800,518041.75
9301300805,437640.25
2325069032,1394137.4
1021079099,339189.06
7215730040,711795.8
1853200080,488423.34
3224600340,667474.4
3222049120,370190.75
2113700025,287217.06
7893207925,199793.14
3586501085,512273.53
8024200010,389468.34
7116500705,182997.5
1598600209,308215.7
7204200025,1485372.6
4206901505,538344.44
2937300440,696603.3
7205000180,276664.2
8718500665,361738.06
5318101765,892922.5
4122700020,761999.94
8078700020,523563.78
3303980680,966192.44
8924100372,1100950.1
2781270210,214529.45
519000043,516285.94
3225069301,1633515.9
151000075,722585.2
2297400020,442232.7
6617500085,617446.44
104510180,234767.89
3528900060,905995.9
3345100286,513585.0
1226039130,471395.84
8712100720,756468.1
3037200010,408603.75
3626039268,429472.34
104510230,245465.88
5112800060,432163.9
6072400280,613560.56
5317100570,1084096.5
9528102993,448671.1
2919201095,482033.78
6181400920,281612.06
185000161,265247.25
8691400010,655456.9
3345700165,600895.56
6151800486,226069.64
4340000080,975770.0
4136960010,441235.12
3634100030,300051.4
1624059224,1237107.0
2788400090,270508.72
9828200762,487938.25
7524400250,570715.7
3528000290,678062.5
5700003630,3710372.8
2720069019,241938.36
7227501170,231833.45
2397101270,497525.9
6792100090,669093.8
2770602265,458889.88
3971700937,309742.66
422049203,238439.03
3076500830,255589.56
1423400260,262478.72
9161100795,436522.72
3126049052,437206.4
5100401468,405486.62
514500235,342003.28
1423200170,200620.84
1402100070,369324.0
624110020,682993.6
2407000145,213696.75
1890000225,829010.06
1320069271,275409.53
5490700085,362707.38
263000155,470431.2
3726800201,481814.1
5153200358,275757.0
2725079018,725872.1
7165700200,300750.16
9429000170,552647.25
8718500075,381928.4
1760650950,292237.97
1068000559,1026500.7
4113800500,610438.6
